epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,10007.4,1.27223,0.55126,0.98118,0.93748,0.91093,0.95525,0.60723,1.28584,0.52119,1.03221,0.00063865,0.00063865,0.00063865
75,10140.3,1.2696,0.55282,0.98073,0.93663,0.91189,0.95513,0.60824,1.28446,0.51981,1.03076,0.0006337,0.0006337,0.0006337
76,10273.3,1.26931,0.55184,0.98253,0.93516,0.91132,0.95528,0.60833,1.28345,0.52048,1.03055,0.00062875,0.00062875,0.00062875
77,10406.3,1.2723,0.55109,0.98155,0.93351,0.91352,0.95505,0.60928,1.28306,0.51995,1.02951,0.0006238,0.0006238,0.0006238
78,10539.5,1.27156,0.55097,0.98268,0.93536,0.91253,0.95488,0.60989,1.28194,0.5202,1.0291,0.00061885,0.00061885,0.00061885
79,10673.2,1.26628,0.54689,0.98119,0.93519,0.91309,0.95515,0.60926,1.2824,0.51964,1.02904,0.0006139,0.0006139,0.0006139
80,10806.3,1.25771,0.54532,0.97753,0.93645,0.91267,0.95481,0.60919,1.28237,0.51898,1.02942,0.00060895,0.00060895,0.00060895
81,10939.4,1.25915,0.54376,0.97696,0.93758,0.91159,0.95534,0.60911,1.28287,0.51908,1.03035,0.000604,0.000604,0.000604
82,11072.5,1.26614,0.54734,0.9788,0.93643,0.91315,0.95583,0.60894,1.28336,0.51927,1.03006,0.00059905,0.00059905,0.00059905
83,11205.3,1.25553,0.54416,0.98018,0.9355,0.91204,0.95541,0.60897,1.28405,0.51945,1.03051,0.0005941,0.0005941,0.0005941
84,11338,1.25439,0.54252,0.97698,0.93549,0.91377,0.95559,0.60888,1.28434,0.519,1.03034,0.00058915,0.00058915,0.00058915
85,11470.6,1.25609,0.54137,0.97563,0.93598,0.91407,0.95585,0.6094,1.28393,0.51856,1.03009,0.0005842,0.0005842,0.0005842
86,11604.3,1.25702,0.54379,0.98147,0.93514,0.91497,0.95595,0.60917,1.28366,0.5186,1.03122,0.00057925,0.00057925,0.00057925
87,11738.1,1.24988,0.54046,0.97698,0.93412,0.91448,0.95573,0.60948,1.28345,0.51719,1.03175,0.0005743,0.0005743,0.0005743
88,11870.4,1.24475,0.53439,0.9744,0.9343,0.91499,0.95559,0.60952,1.28323,0.51721,1.03171,0.00056935,0.00056935,0.00056935
89,12003.7,1.24707,0.53419,0.97483,0.9335,0.91655,0.95555,0.60962,1.28366,0.51752,1.03188,0.0005644,0.0005644,0.0005644
90,12136.7,1.24383,0.53129,0.97562,0.93402,0.91485,0.95539,0.6098,1.28354,0.51713,1.03157,0.00055945,0.00055945,0.00055945
91,12269.6,1.24238,0.5315,0.97361,0.93613,0.91345,0.9554,0.60959,1.28281,0.51672,1.03082,0.0005545,0.0005545,0.0005545
92,12403.5,1.24856,0.5346,0.97357,0.93543,0.91333,0.9556,0.61006,1.28292,0.5162,1.03108,0.00054955,0.00054955,0.00054955
93,12537.2,1.24031,0.534,0.97388,0.93747,0.91272,0.95596,0.61045,1.28321,0.51601,1.03153,0.0005446,0.0005446,0.0005446
94,12671.8,1.23155,0.52686,0.97184,0.93572,0.91409,0.95622,0.61045,1.28312,0.51525,1.03162,0.00053965,0.00053965,0.00053965
95,12804.7,1.23222,0.52861,0.97156,0.93487,0.91523,0.9562,0.61021,1.28332,0.51506,1.03199,0.0005347,0.0005347,0.0005347
96,12937.1,1.23325,0.52617,0.96949,0.93598,0.91481,0.95662,0.61045,1.28343,0.51481,1.03172,0.00052975,0.00052975,0.00052975
97,13070.5,1.22796,0.5254,0.96851,0.93599,0.91402,0.9565,0.61031,1.28365,0.5143,1.03121,0.0005248,0.0005248,0.0005248
98,13203.7,1.22757,0.52334,0.96916,0.93694,0.91341,0.95647,0.61061,1.28386,0.51425,1.03086,0.00051985,0.00051985,0.00051985
99,13336.4,1.23676,0.52812,0.96852,0.93675,0.91288,0.95655,0.61087,1.28363,0.51355,1.03063,0.0005149,0.0005149,0.0005149
100,13469.2,1.22506,0.52466,0.96744,0.93756,0.91194,0.9567,0.6106,1.28321,0.51308,1.03049,0.00050995,0.00050995,0.00050995
101,13601.9,1.22463,0.52375,0.96855,0.93691,0.91262,0.95678,0.61108,1.28326,0.5128,1.03066,0.000505,0.000505,0.000505
102,13735.3,1.22625,0.52293,0.96482,0.93717,0.91249,0.95691,0.61114,1.2836,0.51269,1.03077,0.00050005,0.00050005,0.00050005
103,13868.8,1.23341,0.52481,0.9632,0.93715,0.91266,0.95647,0.6114,1.28342,0.51287,1.03064,0.0004951,0.0004951,0.0004951
104,14001.3,1.22461,0.52039,0.96548,0.93613,0.91317,0.95654,0.6115,1.28343,0.51294,1.03065,0.00049015,0.00049015,0.00049015
105,14134.5,1.22055,0.52131,0.96575,0.93612,0.91328,0.95664,0.61154,1.28344,0.51256,1.0308,0.0004852,0.0004852,0.0004852
106,14267.2,1.2179,0.51852,0.96433,0.93639,0.91289,0.95653,0.61193,1.28362,0.51254,1.0309,0.00048025,0.00048025,0.00048025
107,14399.7,1.22127,0.51749,0.96612,0.93568,0.91336,0.95637,0.61194,1.28338,0.51255,1.03087,0.0004753,0.0004753,0.0004753
108,14532.9,1.21791,0.52046,0.96547,0.93482,0.91399,0.95644,0.612,1.28346,0.51258,1.03102,0.00047035,0.00047035,0.00047035
109,14665.6,1.21458,0.51584,0.96521,0.93576,0.91352,0.9566,0.61238,1.2835,0.5128,1.03118,0.0004654,0.0004654,0.0004654
110,14798.8,1.21628,0.51461,0.96167,0.93533,0.91371,0.95645,0.61224,1.28358,0.51274,1.03123,0.00046045,0.00046045,0.00046045
111,14931.7,1.20924,0.51136,0.96186,0.93562,0.91369,0.95624,0.61223,1.28351,0.51265,1.03118,0.0004555,0.0004555,0.0004555
112,15064.7,1.21573,0.51651,0.95907,0.9349,0.91426,0.95642,0.61262,1.28367,0.51284,1.03142,0.00045055,0.00045055,0.00045055
113,15197.9,1.20947,0.51162,0.96002,0.93512,0.91396,0.95628,0.61251,1.28393,0.51282,1.03158,0.0004456,0.0004456,0.0004456
114,15330.4,1.19975,0.50923,0.95964,0.93593,0.9137,0.95643,0.61235,1.28397,0.51306,1.03156,0.00044065,0.00044065,0.00044065
115,15462.7,1.20415,0.5097,0.96114,0.93557,0.91426,0.95645,0.61233,1.28442,0.51306,1.03169,0.0004357,0.0004357,0.0004357
116,15595.5,1.19745,0.50675,0.95895,0.93511,0.91463,0.95657,0.61237,1.28475,0.51309,1.032,0.00043075,0.00043075,0.00043075
117,15728.1,1.20355,0.50881,0.95923,0.93509,0.91472,0.9565,0.61233,1.28484,0.51329,1.03211,0.0004258,0.0004258,0.0004258
118,15860.9,1.19459,0.50736,0.9572,0.93407,0.91626,0.95655,0.61232,1.28508,0.51346,1.03227,0.00042085,0.00042085,0.00042085
119,16002.6,1.1974,0.50668,0.95532,0.93398,0.9161,0.95652,0.61254,1.2851,0.51351,1.03218,0.0004159,0.0004159,0.0004159
120,16139.5,1.19776,0.5086,0.95462,0.93548,0.91493,0.95661,0.61257,1.28516,0.51373,1.0323,0.00041095,0.00041095,0.00041095
121,16276,1.1941,0.50618,0.95672,0.93615,0.91445,0.95662,0.61223,1.28533,0.5141,1.03241,0.000406,0.000406,0.000406
122,16411.6,1.20537,0.50862,0.956,0.93818,0.91272,0.95671,0.6123,1.28554,0.51411,1.03242,0.00040105,0.00040105,0.00040105
123,16548.3,1.19246,0.50432,0.95428,0.93618,0.91454,0.95676,0.61236,1.28573,0.51416,1.03254,0.0003961,0.0003961,0.0003961
124,16691.2,1.18941,0.50178,0.95528,0.93648,0.91423,0.9565,0.61222,1.28585,0.5142,1.03254,0.00039115,0.00039115,0.00039115
125,16835.9,1.18842,0.50197,0.95357,0.93753,0.91343,0.95656,0.61234,1.28594,0.5142,1.03262,0.0003862,0.0003862,0.0003862
126,16971.2,1.18466,0.4992,0.95419,0.9367,0.91407,0.95646,0.6124,1.28604,0.51428,1.03269,0.00038125,0.00038125,0.00038125
127,17105.6,1.18931,0.501,0.95238,0.9357,0.91491,0.95648,0.61231,1.28618,0.51438,1.03277,0.0003763,0.0003763,0.0003763
128,17241.4,1.18168,0.50023,0.95148,0.93692,0.91414,0.95678,0.61236,1.2862,0.51426,1.03267,0.00037135,0.00037135,0.00037135
129,17378.2,1.18423,0.49742,0.94817,0.93582,0.91511,0.95664,0.61249,1.28634,0.51428,1.03261,0.0003664,0.0003664,0.0003664
130,17514.3,1.1754,0.49651,0.9497,0.9366,0.91483,0.95664,0.61254,1.28639,0.51422,1.03252,0.00036145,0.00036145,0.00036145
131,17651.3,1.18298,0.495,0.94855,0.93604,0.91526,0.9565,0.6124,1.28662,0.5142,1.03249,0.0003565,0.0003565,0.0003565
132,17788,1.17502,0.49621,0.94877,0.93531,0.9156,0.95645,0.61253,1.28682,0.51415,1.03258,0.00035155,0.00035155,0.00035155
133,17924.1,1.17322,0.49467,0.94772,0.93523,0.91561,0.95638,0.61256,1.28684,0.5142,1.03261,0.0003466,0.0003466,0.0003466
134,18061.1,1.18092,0.49725,0.94816,0.93515,0.91555,0.9563,0.61248,1.28695,0.51426,1.0327,0.00034165,0.00034165,0.00034165
135,18196.7,1.17391,0.49305,0.94718,0.93511,0.91555,0.95628,0.61265,1.28722,0.51441,1.03278,0.0003367,0.0003367,0.0003367
136,18332.8,1.17224,0.49455,0.94808,0.935,0.91592,0.95623,0.61256,1.28737,0.51451,1.03281,0.00033175,0.00033175,0.00033175
137,18468.8,1.1638,0.49013,0.94707,0.93419,0.91623,0.95625,0.61259,1.28737,0.51457,1.03283,0.0003268,0.0003268,0.0003268
138,18604.8,1.1691,0.49278,0.94695,0.93464,0.91615,0.95621,0.61259,1.28743,0.5143,1.03287,0.00032185,0.00032185,0.00032185
139,18741.2,1.16561,0.48973,0.94812,0.93446,0.91623,0.95621,0.61266,1.28752,0.51434,1.03293,0.0003169,0.0003169,0.0003169
140,18874.4,1.16762,0.49012,0.94605,0.93484,0.91581,0.95632,0.61259,1.28761,0.51427,1.03292,0.00031195,0.00031195,0.00031195
141,19006.3,1.16204,0.48865,0.9477,0.93504,0.91598,0.95638,0.61275,1.28774,0.51423,1.03299,0.000307,0.000307,0.000307
142,19139.1,1.16466,0.49017,0.94618,0.93505,0.916,0.95634,0.61263,1.28778,0.51405,1.03304,0.00030205,0.00030205,0.00030205
143,19272.2,1.16467,0.48911,0.94304,0.93513,0.91594,0.95622,0.61271,1.28802,0.51419,1.03312,0.0002971,0.0002971,0.0002971
144,19404.4,1.15635,0.4859,0.94341,0.93467,0.91638,0.9562,0.61285,1.28805,0.51421,1.03318,0.00029215,0.00029215,0.00029215
